Rot_X (deg),Rot_Y (deg),Rot_Z (deg),Gyro_Time (ns),Gyro_X,Gyro_Y,Gyro_Z
0.0,0.0,0.0,1015457624874058.0,0.15149434,0.11410185,0.08274153
0.29356203444968365,0.13109558768842733,0.13989906816779413,1015457656821037.0,0.10140342,0.016363494,0.080298066
0.2514743345695245,0.14658517281633865,0.30319998140483756,1015457691231870.0,-0.124616526,-0.003184177,0.06808078
-0.05626313323849516,0.12724978770980983,0.44252591630917626,1015457725641349.0,-0.15027283,-0.008071095,0.08762844
-0.2379131951896886,0.1369829779477485,0.5804999888802022,1015457757591558.0,-0.05253448,0.0053679273,0.038759273
-0.3465008361940667,0.16279755341310376,0.56232606244841,1015457791998016.0,-0.05864313,0.027359061,-0.04187487
-0.23747659726747467,0.305990926068679,0.472025588805737,1015457890319318.0,-0.004887034,-0.0129580125,-0.039431415
-0.1696643856233049,0.3170180141842928,0.3940892124202674,1015457924733068.0,0.09407305,0.027359061,-0.018662013
0.044972707318868016,0.401913642018233,0.3804259194970262,1015457956677495.0,0.085520945,0.04446327,-0.00033607334
0.10132242533775762,0.4116282321883261,0.3587519949098604,1015457991084683.0,0.0048868014,-0.016623199,-0.027214117
0.17910962684708123,0.47681777560541516,0.3159905896966496,1015458025496766.0,0.08185575,0.078671694,-0.016218554
0.27255933062854854,0.6271633445432884,0.30792729328915563,1015458057448276.0,-0.020769518,0.061567485,-0.00033607334
0.09782173833671273,0.7017153783365218,0.3008658567358993,1015458091863537.0,-0.09285156,0.04324154,-0.008888178
0.030709078724690975,0.8307109691356446,0.2629650864804226,1015458123815047.0,0.028099664,0.07011959,-0.033322766
0.06395881721024552,0.9855879385906193,0.15099124127231223,1015458158220308.0,-0.025656436,0.09577591,-0.06508773
-0.000878843525224493,1.2071584486007594,0.03372803777295033,1015458190169839.0,-0.0024435753,0.1373147,-0.06875292
0.100095835886195,1.4501478359988096,-0.10047078931504086,1015458224586037.0,0.08796439,0.086002074,-0.0760833
0.16510804754788824,1.6131622958349094,-0.26739460493154926,1015458258996818.0,-0.030543353,0.09333245,-0.0760833
0.0844328999566202,1.8399828007898602,-0.36602032465079876,1015458290948849.0,-0.030543353,0.15930584,-0.014996827
0.09099516268550803,2.1581346283693845,-0.32171930525623516,1015458325358016.0,0.0073302602,0.14586681,0.031428892
-0.09800512962213029,2.737844420286221,-0.30394406536694185,1015458391712599.0,0.0048868014,0.18984908,0.0192116
-0.08496808509371268,3.540154023703415,-0.262456345762025,1015458458079735.0,-0.050091024,0.12143222,-0.00400126
-0.08689352858591341,3.9799514429427343,-0.34171852406415637,1015458524446922.0,0.0036650738,0.15441892,-0.00033607334
-0.16503119646099645,4.303003261449603,-0.3355674717668705,1015458558850151.0,-0.0781908,0.17030141,0.0021073893
-0.2935690395319546,5.031112941785223,-0.3593546968807339,1015458625204058.0,-0.01343914,0.18740562,0.0057725757
