Rot_X (deg),Rot_Y (deg),Rot_Z (deg),Gyro_Time (ns),Gyro_X,Gyro_Y,Gyro_Z
0.0,0.0,0.0,1022823608437722.0,-0.037873726,0.04812846,-0.044318333
-0.0501376726053316,0.00430819562635992,-0.04717576435415609,1022823640391733.0,-0.007330493,-0.011736281,-0.0027795285
0.025374530937010795,-0.021589683641033947,-0.04137471126865329,1022823674804597.0,0.072081916,-0.008071095,-0.005222991
0.15014919222293047,0.03616236565558065,-0.0981361054077815,1022823709215951.0,0.03298658,0.027359061,-0.045540057
0.12407399823131113,0.04265805882467493,-0.12256188664435158,1022823741165795.0,-0.062308315,0.015141765,0.0106594935
0.02511134853204325,0.05788514439155704,-0.11877333254778538,1022823775581837.0,-0.017104328,-0.0129580125,-0.010109909
-0.08785150276075139,0.1359578730510906,-0.23863547747600192,1022823841948764.0,-0.04031719,0.04446327,-0.055313893
-0.15435166218189028,0.22234099693887488,-0.3012987288582433,1022823873901524.0,-0.03298681,0.06523267,-0.0076664463
-0.20370185264112856,0.4349679136515535,-0.30792266399643553,1022823908315691.0,-0.01343914,0.12998432,0.0021073893
-0.22242706984096958,0.7382447448827762,-0.2309841715262846,1022823942721733.0,0.0012216112,0.16541448,0.0815198
-0.22391478632600123,1.0762776493194899,-0.06466012325957782,1022823974679701.0,-0.019547787,0.21550539,0.07174596
-0.3038899508776199,1.5839543027288825,0.042553345222762114,1022824009092826.0,-0.073303886,0.30957854,0.06319386
-0.5044400004456525,2.2416244263966028,0.2143023932361818,1022824041045639.0,-0.12705998,0.34134352,0.1145065
-0.7450650356761768,2.666876158499246,0.34295334318927956,1022824075458451.0,-0.13194689,0.1617493,-0.010109909
-1.0603274814990855,3.1071964772138134,0.2778400946459789,1022824107412826.0,-0.1942551,0.28147876,-0.038209684
-1.3700774504560926,3.642085607120537,0.19307872514738264,1022824141824128.0,-0.086742915,0.26681802,-0.044318333
-1.4419151051460213,4.072168429827068,0.1687404433581664,1022824173778972.0,-0.004887034,0.17274487,0.025320247
-1.44235283852954,4.416045227321978,0.2450664369910473,1022824208190118.0,-0.020769518,0.22039232,0.01798987
-1.5449029851826608,4.942971872508915,0.23240500480726362,1022824242599180.0,-0.07452562,0.26315284,-0.0076664463
-1.666090600002794,5.347592230211082,0.2476166886197379,1022824274556680.0,-0.043982375,0.17274487,0.035094082
-1.6649533342131262,5.670644057312317,0.3704051384237616,1022824308968399.0,0.030543119,0.1861839,0.07296769
-1.6148160929017745,6.12382686599796,0.5031292131135686,1022824340923035.0,0.019547556,0.27537012,0.07052423
-1.5551413748616172,6.550916093803111,0.6776301171131937,1022824375334233.0,0.05131252,0.16052756,0.092515364
-1.4601166693165237,6.9200114818302705,0.8276791810366642,1022824407289233.0,0.041538686,0.23627478,0.048533108
-1.4840043826246916,7.3919006728289895,0.8501052202239837,1022824441696785.0,-0.09407329,0.25093555,-0.00033607334
-1.7383668808425592,7.880170943482063,0.8878043849273286,1022824473650378.0,-0.12950343,0.26070938,0.041202728
-1.806179556553895,8.275497699142399,1.0067428416040831,1022824508068191.0,0.06963846,0.120210506,0.074189425
