Rot_X (deg),Rot_Y (deg),Rot_Z (deg),Gyro_Time (ns),Gyro_X,Gyro_Y,Gyro_Z
0.0,0.0,0.0,1014908162579022.0,-0.036652,-0.30495137,0.050976563
-0.07420015233631158,-0.3964414782823156,0.07926162905476214,1014908194532563.0,-0.012217411,-0.1204702,0.030207165
0.010149545439497143,-0.5870142168472228,0.10868766196019519,1014908228941470.0,0.06841673,-0.09725734,0.008216035
0.13273672548333174,-0.7779183567791437,0.10543686111501549,1014908260893657.0,0.054977708,-0.11924847,-0.021105472
0.22679891579063868,-1.1119909833816881,0.0049255038455792155,1014908295309699.0,-0.004887034,-0.22309548,-0.06875292
0.1674737502772056,-1.5482449375453315,-0.12152519148758834,1014908327261313.0,-0.004887034,-0.21332166,-0.06630946
0.26993593072003996,-1.9625550077935268,-0.24846152534657065,1014908361673397.0,0.07452538,-0.21332166,-0.040653147
0.3565606414027044,-2.426808928120666,-0.2538998222261733,1014908393620740.0,0.028099664,-0.28906888,0.021655058
0.4330353462313117,-3.027143838455055,-0.21826129470110886,1014908428034647.0,0.042760417,-0.2939558,0.0033291169
0.5244725387797345,-3.58670378545878,-0.24221021590880532,1014908462441626.0,0.036651768,-0.27929503,-0.030879311
0.5922845322272522,-4.639830127035719,-0.33144738907228244,1014908528808605.0,0.008551992,-0.32694247,-0.0027795285
0.6146842970311296,-5.32432136479782,-0.3234106989583843,1014908560761157.0,-0.0061087636,-0.39658105,0.008216035
0.5455591237653165,-6.08329363305973,-0.2968721636378576,1014908595170792.0,-0.025656436,-0.33671632,0.01676814
0.5549213985660905,-6.634347485163005,-0.25331050311556724,1014908627124074.0,0.014660637,-0.2731864,0.030207165
0.59009613557766,-7.195744938612197,-0.17637201043771897,1014908661534282.0,0.0024433425,-0.28906888,0.048533108
0.6033958922201251,-7.7728923730283555,-0.08788352656080867,1014908695939855.0,0.014660637,-0.3073948,0.020433329
0.5834456936342638,-8.386683662709597,-0.09682182319720214,1014908727897459.0,-0.029321622,-0.33793804,-0.0223272
0.612670435506255,-9.091055975896495,-0.1327582328307031,1014908762303032.0,0.061086357,-0.3391598,0.0057725757
0.736307613206925,-9.748334742174645,-0.07230908793901891,1014908794255949.0,0.040316954,-0.36848128,0.052198295
0.6526574490999669,-10.513519515176053,0.045404368642448845,1014908828670063.0,-0.11850787,-0.3904724,0.07296769
0.4521073953779904,-11.296973169228739,0.2094534238123157,1014908860622667.0,-0.06963869,-0.43689814,0.08762844
0.4324196803175018,-12.171270345968525,0.33862936675682354,1014908895029751.0,0.024434473,-0.40146798,0.038759273
0.4391569581185605,-12.823561601299929,0.33896606381517425,1014908926981782.0,-0.03298681,-0.27562985,-0.02354893
0.3692442845582157,-13.287046630170936,0.3060046506252194,1014908961392615.0,-0.01466087,-0.19743916,-0.00033607334
0.40021902453247926,-13.604581765370629,0.30349321059463996,1014908995807042.0,0.029321387,-0.15834382,-0.021105472
0.44283126950642193,-14.008110733727298,0.19699249673930164,1014909027759334.0,-0.010995681,-0.26829946,-0.06997465
0.366531102662354,-14.558920678413381,0.09726863801687546,1014909062166105.0,-0.01343914,-0.24875179,-0.021105472
0.3781683764735627,-14.999287120230452,0.07433035460029175,1014909094117147.0,0.0073302602,-0.23531279,-0.0076664463
0.40660561872644263,-15.477909632455848,0.028506451777307484,1014909128522876.0,0.020769283,-0.23409104,-0.04187487
0.4561303604914887,-15.891851090306549,-0.06171927644563974,1014909160471053.0,0.020769283,-0.2279824,-0.04676179
0.4546426286776417,-16.440998536357103,-0.08741819664866046,1014909194896261.0,-0.024434704,-0.30983827,0.026541974
0.38289247402521354,-16.973239907255188,0.035680888813008016,1014909226850428.0,-0.06353005,-0.2695212,0.08762844
0.2530423491900077,-17.47163739672947,0.16389433198958925,1014909261255011.0,-0.039095458,-0.25852564,0.032650623
